# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here

Mn|Minimal
DT|Dub Techno
Gamelan|Gamelan
UH|Euro House
In|Industrial
IR|Indie Rock
Dn|Downtempo
Folk Pop|Folk Pop;Folk;Pop
Avant-Pop|Avant-Pop;Pop
Downtemp|Downtempo
Southern Rock|Southern Rock;Rock
IndieRock|Indie Rock;Indie
HH|Hip-Hop;Hip Hop
J|Jazz
CJ|Contemporary Jazz
Ju|Jungle
E|Electronic
Ac|Acid
Am|Ambient
Ab|Abstract
X|Experimental
Ex|Experimental
D|Dub
R|Reggae
H|House
T|Techno
Ro|Rock
HR|Heavy Rock;Rock
I|Industrial
DH|Deep House;House
EAT|Electronic;Ambient;Techno
EAX|Electronic;Ambient;Experimental
Reggaeton|Reggaeton
J-pop|J-pop
J-Pop|J-pop
JPop|J-pop
Jpop|J-pop
JP|J-pop
Ragtime|Ragtime
Neo Soul|Neo Soul
Cape Jazz|Cape Jazz;Jazz
Synthpo|Synthpop
Modern Classsical|Modern Classical;Contemporary;Classical
Freakbeat|Freakbeat;Mod
Traditional|Traditional
HeavyRock|Heavy Rock;Rock
HardRock|Hard Rock;Rock
Alternative & Indie|Alternative & Indie;Alternative;Indie
World Beat|World Beat
African|African
BluesRock|Blues Rock;Rock
Rebetiko|Rebetiko
Post-Metal|Post-Metal
Glitch Dub|Dub;Glitch;Glitch Dub
Speed Metal|Speed Metal;Metal
Heavy Rock|Heavy Rock;Heavy Metal;Metal;Rock
Jangle Pop|Jangle Pop
Children's|Children's
Popo|Pop
Reggae Pop|Reggae;Pop;Reggae-Pop
Reggae-Pop|Reggae;Pop;Reggae-Pop
House, Techno, Tech House|Electronic;House;Techno;Tech House
Indue|Indie
ClassicRock|Classic Rock;Rock
Boogaloo|Boogaloo
Latin Jazz|Latin Jazz
Salsa|Salsa
Bleep|Bleep
Horror|Horror
Hauntology|Hauntology
TECHNO|Techno
Trchno|Techno
HOUSE|House
Classica|Classical
Beatdown|Beatdown
Jazz Fusion|Jazz Fusion
Jazz/Funk|Jazz/Funk
Afro|Afro
Religious|Religious
lectronic|Electronic
No Wave|No Wave
Electronic, |Electronic
Electronica, |Electronica
Downtempo, |Downtempo
Classical, |Classical
Ambient, |Ambient
Experimental, |Experimental
Modern Classical, |Modern Classical;Contemporary;Classical
Generative Synthesis|Generative Synthesis
ndustrial|Industrial
Electric|Electronic
